function, input, cycles,
reck_it, 1000, 0,
reck_it, 2000, 0,
reck_it, 3000, 0,
reck_it, 4000, 0,
reck_it, 5000, 0,
reck_it, 6000, 0,
reck_it, 7000, 0,
reck_it, 8000, 0,
reck_it, 9000, 0,
reck_it, 10000, 0,
reck_it, 11000, 0,
reck_it, 12000, 0,
reck_it, 13000, 1562,
reck_it, 14000, 0,
reck_it, 15000, 0,
reck_it, 16000, 0,
reck_it, 17000, 0,
reck_it, 18000, 0,
reck_it, 19000, 0,
reck_it, 20000, 0,
reck_it, 21000, 0,
reck_it, 22000, 0,
reck_it, 23000, 0,
reck_it, 24000, 0,
reck_it, 25000, 0,
reck_it, 26000, 0,
reck_it, 27000, 0,
reck_it, 28000, 1562,
reck_it, 29000, 0,
reck_it, 30000, 0,
reck_it, 31000, 0,
reck_it, 32000, 0,
reck_it, 33000, 0,
reck_it, 34000, 0,
reck_it, 35000, 0,
reck_it, 36000, 0,
reck_it, 37000, 1562,
reck_it, 38000, 0,
reck_it, 39000, 0,
reck_it, 40000, 0,
reck_it, 41000, 0,
reck_it, 42000, 0,
reck_it, 43000, 0,
reck_it, 44000, 1562,
reck_it, 45000, 0,
reck_it, 46000, 0,
reck_it, 47000, 0,
reck_it, 48000, 0,
reck_it, 49000, 0,
reck_it, 50000, 1562,
reck_it, 51000, 0,
reck_it, 52000, 0,
reck_it, 53000, 0,
reck_it, 54000, 0,
reck_it, 55000, 0,
reck_it, 56000, 1562,
reck_it, 57000, 0,
reck_it, 58000, 0,
reck_it, 59000, 0,
reck_it, 60000, 0,
reck_it, 61000, 1562,
reck_it, 62000, 0,
reck_it, 63000, 0,
reck_it, 64000, 0,
reck_it, 65000, 0,
reck_it, 66000, 1562,
reck_it, 67000, 0,
reck_it, 68000, 0,
reck_it, 69000, 0,
reck_it, 70000, 1562,
reck_it, 71000, 0,
reck_it, 72000, 0,
reck_it, 73000, 0,
reck_it, 74000, 1562,
reck_it, 75000, 0,
reck_it, 76000, 0,
reck_it, 77000, 0,
reck_it, 78000, 1562,
reck_it, 79000, 0,
reck_it, 80000, 0,
reck_it, 81000, 0,
reck_it, 82000, 1562,
reck_it, 83000, 0,
reck_it, 84000, 0,
reck_it, 85000, 1562,
reck_it, 86000, 0,
reck_it, 87000, 0,
reck_it, 88000, 0,
reck_it, 89000, 1562,
reck_it, 90000, 0,
reck_it, 91000, 0,
reck_it, 92000, 1562,
reck_it, 93000, 0,
reck_it, 94000, 0,
reck_it, 95000, 1562,
reck_it, 96000, 0,
reck_it, 97000, 0,
reck_it, 98000, 1562,
reck_it, 99000, 0,
reck_it, 100000, 0,
reck_it, 101000, 1562,
reck_it, 102000, 0,
reck_it, 103000, 0,
reck_it, 104000, 1562,
reck_it, 105000, 0,
reck_it, 106000, 0,
reck_it, 107000, 1562,
reck_it, 108000, 0,
reck_it, 109000, 0,
reck_it, 110000, 1562,
reck_it, 111000, 0,
reck_it, 112000, 1562,
reck_it, 113000, 0,
reck_it, 114000, 0,
reck_it, 115000, 1562,
reck_it, 116000, 0,
reck_it, 117000, 0,
reck_it, 118000, 1562,
reck_it, 119000, 0,
reck_it, 120000, 1562,
reck_it, 121000, 0,
reck_it, 122000, 0,
reck_it, 123000, 1562,
reck_it, 124000, 0,
reck_it, 125000, 1562,
reck_it, 126000, 0,
reck_it, 127000, 1562,
reck_it, 128000, 0,
reck_it, 129000, 0,
reck_it, 130000, 1562,
reck_it, 131000, 0,
reck_it, 132000, 1562,
reck_it, 133000, 0,
reck_it, 134000, 1562,
reck_it, 135000, 0,
reck_it, 136000, 1562,
reck_it, 137000, 0,
reck_it, 138000, 1562,
reck_it, 139000, 0,
reck_it, 140000, 0,
reck_it, 141000, 1562,
reck_it, 142000, 0,
reck_it, 143000, 1562,
reck_it, 144000, 0,
reck_it, 145000, 1562,
reck_it, 146000, 0,
reck_it, 147000, 1562,
reck_it, 148000, 0,
reck_it, 149000, 1562,
reck_it, 150000, 0,
reck_it, 151000, 1562,
reck_it, 152000, 0,
reck_it, 153000, 1562,
reck_it, 154000, 0,
reck_it, 155000, 1562,
reck_it, 156000, 0,
reck_it, 157000, 1562,
reck_it, 158000, 0,
reck_it, 159000, 1562,
reck_it, 160000, 1562,
reck_it, 161000, 0,
reck_it, 162000, 1562,
reck_it, 163000, 0,
reck_it, 164000, 1562,
reck_it, 165000, 0,
reck_it, 166000, 1562,
reck_it, 167000, 0,
reck_it, 168000, 1562,
reck_it, 169000, 1562,
reck_it, 170000, 0,
reck_it, 171000, 1562,
reck_it, 172000, 0,
reck_it, 173000, 1562,
reck_it, 174000, 0,
reck_it, 175000, 1562,
reck_it, 176000, 1562,
reck_it, 177000, 0,
reck_it, 178000, 1562,
reck_it, 179000, 0,
reck_it, 180000, 1562,
reck_it, 181000, 1562,
reck_it, 182000, 0,
reck_it, 183000, 1562,
reck_it, 184000, 0,
reck_it, 185000, 1562,
reck_it, 186000, 1562,
reck_it, 187000, 0,
reck_it, 188000, 1562,
reck_it, 189000, 1562,
reck_it, 190000, 0,
reck_it, 191000, 1562,
reck_it, 192000, 0,
reck_it, 193000, 1562,
reck_it, 194000, 1562,
reck_it, 195000, 0,
reck_it, 196000, 1562,
reck_it, 197000, 1562,
reck_it, 198000, 0,
reck_it, 199000, 1562,
reck_it, 200000, 1562,
reck_it, 201000, 0,
reck_it, 202000, 1562,
reck_it, 203000, 1562,
reck_it, 204000, 0,
reck_it, 205000, 1562,
reck_it, 206000, 1562,
reck_it, 207000, 1562,
reck_it, 208000, 0,
reck_it, 209000, 1562,
reck_it, 210000, 1562,
reck_it, 211000, 0,
reck_it, 212000, 1562,
reck_it, 213000, 1562,
reck_it, 214000, 0,
reck_it, 215000, 1562,
reck_it, 216000, 1562,
reck_it, 217000, 1562,
reck_it, 218000, 0,
reck_it, 219000, 1562,
reck_it, 220000, 1562,
reck_it, 221000, 0,
reck_it, 222000, 1562,
reck_it, 223000, 1562,
reck_it, 224000, 1562,
reck_it, 225000, 0,
reck_it, 226000, 1562,
reck_it, 227000, 1562,
reck_it, 228000, 0,
reck_it, 229000, 1562,
reck_it, 230000, 1562,
reck_it, 231000, 1562,
reck_it, 232000, 1562,
reck_it, 233000, 0,
reck_it, 234000, 1562,
reck_it, 235000, 1562,
reck_it, 236000, 0,
reck_it, 237000, 0,
reck_it, 238000, 1562,
reck_it, 239000, 1562,
reck_it, 240000, 1562,
reck_it, 241000, 1562,
reck_it, 242000, 0,
reck_it, 243000, 1562,
reck_it, 244000, 1562,
reck_it, 245000, 1562,
reck_it, 246000, 1562,
reck_it, 247000, 1562,
reck_it, 248000, 0,
reck_it, 249000, 1562,
reck_it, 250000, 1562,
reck_it, 251000, 1562,
reck_it, 252000, 1562,
reck_it, 253000, 1562,
reck_it, 254000, 0,
reck_it, 255000, 1562,
reck_it, 256000, 1562,
reck_it, 257000, 1562,
reck_it, 258000, 1562,
reck_it, 259000, 1562,
reck_it, 260000, 1562,
reck_it, 261000, 0,
reck_it, 262000, 1562,
reck_it, 263000, 1562,
reck_it, 264000, 1562,
reck_it, 265000, 1562,
reck_it, 266000, 1562,
reck_it, 267000, 1562,
reck_it, 268000, 1562,
reck_it, 269000, 1562,
reck_it, 270000, 1562,
reck_it, 271000, 1562,
reck_it, 272000, 0,
reck_it, 273000, 1562,
reck_it, 274000, 1562,
reck_it, 275000, 1562,
reck_it, 276000, 1562,
reck_it, 277000, 1562,
reck_it, 278000, 1562,
reck_it, 279000, 1562,
reck_it, 280000, 1562,
reck_it, 281000, 1562,
reck_it, 282000, 1562,
reck_it, 283000, 1562,
reck_it, 284000, 1562,
reck_it, 285000, 1562,
reck_it, 286000, 1562,
reck_it, 287000, 1562,
reck_it, 288000, 1562,
reck_it, 289000, 1562,
reck_it, 290000, 1562,
reck_it, 291000, 1562,
reck_it, 292000, 1562,
reck_it, 293000, 1562,
reck_it, 294000, 1562,
reck_it, 295000, 1562,
reck_it, 296000, 1562,
reck_it, 297000, 1562,
reck_it, 298000, 1562,
reck_it, 299000, 1562,
reck_it, 300000, 1562,
reck_it, 301000, 1562,
reck_it, 302000, 1562,
reck_it, 303000, 1562,
reck_it, 304000, 1562,
reck_it, 305000, 1562,
reck_it, 306000, 1562,
reck_it, 307000, 1562,
reck_it, 308000, 1562,
reck_it, 309000, 1562,
reck_it, 310000, 1562,
reck_it, 311000, 1562,
reck_it, 312000, 1562,
reck_it, 313000, 1562,
reck_it, 314000, 1562,
reck_it, 315000, 1562,
reck_it, 316000, 1562,
reck_it, 317000, 1562,
reck_it, 318000, 1562,
reck_it, 319000, 3125,
reck_it, 320000, 1562,
reck_it, 321000, 1562,
reck_it, 322000, 1562,
reck_it, 323000, 1562,
reck_it, 324000, 1562,
reck_it, 325000, 1562,
reck_it, 326000, 1562,
reck_it, 327000, 1562,
reck_it, 328000, 1562,
reck_it, 329000, 1562,
reck_it, 330000, 1562,
reck_it, 331000, 1562,
reck_it, 332000, 1562,
reck_it, 333000, 3125,
reck_it, 334000, 1562,
reck_it, 335000, 1562,
reck_it, 336000, 1562,
reck_it, 337000, 1562,
reck_it, 338000, 1562,
reck_it, 339000, 1562,
reck_it, 340000, 1562,
reck_it, 341000, 3125,
reck_it, 342000, 1562,
reck_it, 343000, 1562,
reck_it, 344000, 1562,
reck_it, 345000, 1562,
reck_it, 346000, 3125,
reck_it, 347000, 1562,
reck_it, 348000, 1562,
reck_it, 349000, 1562,
reck_it, 350000, 3125,
reck_it, 351000, 1562,
reck_it, 352000, 1562,
reck_it, 353000, 3125,
reck_it, 354000, 1562,
reck_it, 355000, 1562,
reck_it, 356000, 1562,
reck_it, 357000, 1562,
reck_it, 358000, 3125,
reck_it, 359000, 1562,
reck_it, 360000, 1562,
reck_it, 361000, 1562,
reck_it, 362000, 1562,
reck_it, 363000, 3125,
reck_it, 364000, 1562,
reck_it, 365000, 1562,
reck_it, 366000, 1562,
reck_it, 367000, 3125,
reck_it, 368000, 1562,
reck_it, 369000, 1562,
reck_it, 370000, 1562,
reck_it, 371000, 3125,
reck_it, 372000, 1562,
reck_it, 373000, 1562,
reck_it, 374000, 1562,
reck_it, 375000, 3125,
reck_it, 376000, 1562,
reck_it, 377000, 1562,
reck_it, 378000, 3125,
reck_it, 379000, 1562,
reck_it, 380000, 1562,
reck_it, 381000, 1562,
reck_it, 382000, 3125,
reck_it, 383000, 1562,
reck_it, 384000, 1562,
reck_it, 385000, 3125,
reck_it, 386000, 1562,
reck_it, 387000, 1562,
reck_it, 388000, 3125,
reck_it, 389000, 1562,
reck_it, 390000, 1562,
reck_it, 391000, 3125,
reck_it, 392000, 1562,
reck_it, 393000, 1562,
reck_it, 394000, 1562,
reck_it, 395000, 3125,
reck_it, 396000, 3125,
reck_it, 397000, 1562,
reck_it, 398000, 4687,
reck_it, 399000, 1562,
reck_it, 400000, 3125,
reck_it, 401000, 3125,
reck_it, 402000, 1562,
reck_it, 403000, 3125,
reck_it, 404000, 1562,
reck_it, 405000, 3125,
reck_it, 406000, 1562,
reck_it, 407000, 1562,
reck_it, 408000, 3125,
reck_it, 409000, 1562,
reck_it, 410000, 3125,
reck_it, 411000, 1562,
reck_it, 412000, 3125,
reck_it, 413000, 1562,
reck_it, 414000, 3125,
reck_it, 415000, 1562,
reck_it, 416000, 3125,
reck_it, 417000, 1562,
reck_it, 418000, 3125,
reck_it, 419000, 1562,
reck_it, 420000, 3125,
reck_it, 421000, 3125,
reck_it, 422000, 1562,
reck_it, 423000, 1562,
reck_it, 424000, 3125,
reck_it, 425000, 1562,
reck_it, 426000, 3125,
reck_it, 427000, 1562,
reck_it, 428000, 3125,
reck_it, 429000, 1562,
reck_it, 430000, 3125,
reck_it, 431000, 1562,
reck_it, 432000, 3125,
reck_it, 433000, 1562,
reck_it, 434000, 3125,
reck_it, 435000, 1562,
reck_it, 436000, 3125,
reck_it, 437000, 1562,
reck_it, 438000, 1562,
reck_it, 439000, 1562,
reck_it, 440000, 3125,
reck_it, 441000, 1562,
reck_it, 442000, 3125,
reck_it, 443000, 1562,
reck_it, 444000, 3125,
reck_it, 445000, 1562,
reck_it, 446000, 3125,
reck_it, 447000, 1562,
reck_it, 448000, 3125,
reck_it, 449000, 1562,
reck_it, 450000, 3125,
reck_it, 451000, 3125,
reck_it, 452000, 1562,
reck_it, 453000, 3125,
reck_it, 454000, 1562,
reck_it, 455000, 3125,
reck_it, 456000, 1562,
reck_it, 457000, 3125,
reck_it, 458000, 3125,
reck_it, 459000, 1562,
reck_it, 460000, 3125,
reck_it, 461000, 1562,
reck_it, 462000, 3125,
reck_it, 463000, 1562,
reck_it, 464000, 3125,
reck_it, 465000, 3125,
reck_it, 466000, 1562,
reck_it, 467000, 3125,
reck_it, 468000, 1562,
reck_it, 469000, 3125,
reck_it, 470000, 3125,
reck_it, 471000, 1562,
reck_it, 472000, 3125,
reck_it, 473000, 3125,
reck_it, 474000, 1562,
reck_it, 475000, 3125,
reck_it, 476000, 1562,
reck_it, 477000, 3125,
reck_it, 478000, 3125,
reck_it, 479000, 1562,
reck_it, 480000, 3125,
reck_it, 481000, 1562,
reck_it, 482000, 3125,
reck_it, 483000, 3125,
reck_it, 484000, 1562,
reck_it, 485000, 3125,
reck_it, 486000, 3125,
reck_it, 487000, 1562,
reck_it, 488000, 3125,
reck_it, 489000, 3125,
reck_it, 490000, 1562,
reck_it, 491000, 3125,
reck_it, 492000, 3125,
reck_it, 493000, 1562,
reck_it, 494000, 3125,
reck_it, 495000, 3125,
reck_it, 496000, 1562,
reck_it, 497000, 3125,
reck_it, 498000, 3125,
reck_it, 499000, 1562,
reck_it, 500000, 3125,
reck_it, 501000, 3125,
reck_it, 502000, 3125,
reck_it, 503000, 1562,
reck_it, 504000, 3125,
reck_it, 505000, 3125,
reck_it, 506000, 3125,
reck_it, 507000, 1562,
reck_it, 508000, 3125,
reck_it, 509000, 3125,
reck_it, 510000, 3125,
reck_it, 511000, 3125,
reck_it, 512000, 3125,
reck_it, 513000, 1562,
reck_it, 514000, 3125,
reck_it, 515000, 3125,
reck_it, 516000, 3125,
reck_it, 517000, 3125,
reck_it, 518000, 3125,
reck_it, 519000, 3125,
reck_it, 520000, 1562,
reck_it, 521000, 3125,
reck_it, 522000, 3125,
reck_it, 523000, 3125,
reck_it, 524000, 3125,
reck_it, 525000, 3125,
reck_it, 526000, 3125,
reck_it, 527000, 3125,
reck_it, 528000, 3125,
reck_it, 529000, 3125,
reck_it, 530000, 1562,
reck_it, 531000, 3125,
reck_it, 532000, 3125,
reck_it, 533000, 3125,
reck_it, 534000, 3125,
reck_it, 535000, 3125,
reck_it, 536000, 3125,
reck_it, 537000, 3125,
reck_it, 538000, 3125,
reck_it, 539000, 1562,
reck_it, 540000, 3125,
reck_it, 541000, 3125,
reck_it, 542000, 3125,
reck_it, 543000, 3125,
reck_it, 544000, 3125,
reck_it, 545000, 3125,
reck_it, 546000, 3125,
reck_it, 547000, 3125,
reck_it, 548000, 4687,
reck_it, 549000, 1562,
reck_it, 550000, 3125,
reck_it, 551000, 4687,
reck_it, 552000, 3125,
reck_it, 553000, 3125,
reck_it, 554000, 3125,
reck_it, 555000, 3125,
reck_it, 556000, 3125,
reck_it, 557000, 3125,
reck_it, 558000, 3125,
reck_it, 559000, 3125,
reck_it, 560000, 3125,
reck_it, 561000, 3125,
reck_it, 562000, 3125,
reck_it, 563000, 3125,
reck_it, 564000, 3125,
reck_it, 565000, 3125,
reck_it, 566000, 3125,
reck_it, 567000, 3125,
reck_it, 568000, 3125,
reck_it, 569000, 3125,
reck_it, 570000, 3125,
reck_it, 571000, 3125,
reck_it, 572000, 3125,
reck_it, 573000, 3125,
reck_it, 574000, 3125,
reck_it, 575000, 3125,
reck_it, 576000, 4687,
reck_it, 577000, 3125,
reck_it, 578000, 3125,
reck_it, 579000, 3125,
reck_it, 580000, 3125,
reck_it, 581000, 3125,
reck_it, 582000, 3125,
reck_it, 583000, 3125,
reck_it, 584000, 3125,
reck_it, 585000, 3125,
reck_it, 586000, 3125,
reck_it, 587000, 3125,
reck_it, 588000, 3125,
reck_it, 589000, 3125,
reck_it, 590000, 4687,
reck_it, 591000, 3125,
reck_it, 592000, 3125,
reck_it, 593000, 3125,
reck_it, 594000, 3125,
reck_it, 595000, 3125,
reck_it, 596000, 3125,
reck_it, 597000, 3125,
reck_it, 598000, 4687,
reck_it, 599000, 3125,
reck_it, 600000, 3125,
reck_it, 601000, 3125,
reck_it, 602000, 3125,
reck_it, 603000, 3125,
reck_it, 604000, 1562,
reck_it, 605000, 4687,
reck_it, 606000, 3125,
reck_it, 607000, 3125,
reck_it, 608000, 3125,
reck_it, 609000, 3125,
reck_it, 610000, 3125,
reck_it, 611000, 3125,
reck_it, 612000, 4687,
reck_it, 613000, 3125,
reck_it, 614000, 3125,
reck_it, 615000, 3125,
reck_it, 616000, 3125,
reck_it, 617000, 4687,
reck_it, 618000, 3125,
reck_it, 619000, 3125,
reck_it, 620000, 3125,
reck_it, 621000, 4687,
reck_it, 622000, 3125,
reck_it, 623000, 3125,
reck_it, 624000, 3125,
reck_it, 625000, 3125,
reck_it, 626000, 4687,
reck_it, 627000, 3125,
reck_it, 628000, 3125,
reck_it, 629000, 3125,
reck_it, 630000, 3125,
reck_it, 631000, 4687,
reck_it, 632000, 3125,
reck_it, 633000, 3125,
reck_it, 634000, 3125,
reck_it, 635000, 3125,
reck_it, 636000, 4687,
reck_it, 637000, 3125,
reck_it, 638000, 3125,
reck_it, 639000, 3125,
reck_it, 640000, 4687,
reck_it, 641000, 3125,
reck_it, 642000, 3125,
reck_it, 643000, 4687,
reck_it, 644000, 3125,
reck_it, 645000, 3125,
reck_it, 646000, 3125,
reck_it, 647000, 4687,
reck_it, 648000, 3125,
reck_it, 649000, 3125,
reck_it, 650000, 4687,
reck_it, 651000, 3125,
reck_it, 652000, 3125,
reck_it, 653000, 4687,
reck_it, 654000, 3125,
reck_it, 655000, 3125,
reck_it, 656000, 4687,
reck_it, 657000, 3125,
reck_it, 658000, 3125,
reck_it, 659000, 4687,
reck_it, 660000, 3125,
reck_it, 661000, 3125,
reck_it, 662000, 4687,
reck_it, 663000, 3125,
reck_it, 664000, 3125,
reck_it, 665000, 4687,
reck_it, 666000, 3125,
reck_it, 667000, 3125,
reck_it, 668000, 4687,
reck_it, 669000, 3125,
reck_it, 670000, 4687,
reck_it, 671000, 3125,
reck_it, 672000, 3125,
reck_it, 673000, 3125,
reck_it, 674000, 3125,
reck_it, 675000, 3125,
reck_it, 676000, 4687,
reck_it, 677000, 3125,
reck_it, 678000, 4687,
reck_it, 679000, 3125,
reck_it, 680000, 3125,
reck_it, 681000, 4687,
reck_it, 682000, 3125,
reck_it, 683000, 3125,
reck_it, 684000, 4687,
reck_it, 685000, 3125,
reck_it, 686000, 4687,
reck_it, 687000, 3125,
reck_it, 688000, 4687,
reck_it, 689000, 3125,
reck_it, 690000, 4687,
reck_it, 691000, 3125,
reck_it, 692000, 3125,
reck_it, 693000, 4687,
reck_it, 694000, 3125,
reck_it, 695000, 3125,
reck_it, 696000, 3125,
reck_it, 697000, 4687,
reck_it, 698000, 3125,
reck_it, 699000, 4687,
reck_it, 700000, 3125,
reck_it, 701000, 4687,
reck_it, 702000, 3125,
reck_it, 703000, 4687,
reck_it, 704000, 4687,
reck_it, 705000, 3125,
reck_it, 706000, 4687,
reck_it, 707000, 4687,
reck_it, 708000, 3125,
reck_it, 709000, 4687,
reck_it, 710000, 4687,
reck_it, 711000, 3125,
reck_it, 712000, 4687,
reck_it, 713000, 3125,
reck_it, 714000, 4687,
reck_it, 715000, 3125,
reck_it, 716000, 4687,
reck_it, 717000, 4687,
reck_it, 718000, 3125,
reck_it, 719000, 4687,
reck_it, 720000, 3125,
reck_it, 721000, 4687,
reck_it, 722000, 4687,
reck_it, 723000, 3125,
reck_it, 724000, 4687,
reck_it, 725000, 3125,
reck_it, 726000, 4687,
reck_it, 727000, 3125,
reck_it, 728000, 4687,
reck_it, 729000, 4687,
reck_it, 730000, 3125,
reck_it, 731000, 4687,
reck_it, 732000, 3125,
reck_it, 733000, 4687,
reck_it, 734000, 4687,
reck_it, 735000, 3125,
reck_it, 736000, 4687,
reck_it, 737000, 3125,
reck_it, 738000, 4687,
reck_it, 739000, 4687,
reck_it, 740000, 3125,
reck_it, 741000, 4687,
reck_it, 742000, 4687,
reck_it, 743000, 3125,
reck_it, 744000, 4687,
reck_it, 745000, 4687,
reck_it, 746000, 3125,
reck_it, 747000, 4687,
reck_it, 748000, 4687,
reck_it, 749000, 3125,
reck_it, 750000, 4687,
reck_it, 751000, 4687,
reck_it, 752000, 3125,
reck_it, 753000, 4687,
reck_it, 754000, 4687,
reck_it, 755000, 3125,
reck_it, 756000, 4687,
reck_it, 757000, 4687,
reck_it, 758000, 3125,
reck_it, 759000, 4687,
reck_it, 760000, 4687,
reck_it, 761000, 4687,
reck_it, 762000, 3125,
reck_it, 763000, 4687,
reck_it, 764000, 4687,
reck_it, 765000, 3125,
reck_it, 766000, 4687,
reck_it, 767000, 4687,
reck_it, 768000, 4687,
reck_it, 769000, 4687,
reck_it, 770000, 4687,
reck_it, 771000, 3125,
reck_it, 772000, 4687,
reck_it, 773000, 4687,
reck_it, 774000, 4687,
reck_it, 775000, 3125,
reck_it, 776000, 4687,
reck_it, 777000, 4687,
reck_it, 778000, 4687,
reck_it, 779000, 4687,
reck_it, 780000, 3125,
reck_it, 781000, 4687,
reck_it, 782000, 4687,
reck_it, 783000, 4687,
reck_it, 784000, 3125,
reck_it, 785000, 4687,
reck_it, 786000, 4687,
reck_it, 787000, 4687,
reck_it, 788000, 4687,
reck_it, 789000, 3125,
reck_it, 790000, 4687,
reck_it, 791000, 4687,
reck_it, 792000, 4687,
reck_it, 793000, 4687,
reck_it, 794000, 3125,
reck_it, 795000, 4687,
reck_it, 796000, 4687,
reck_it, 797000, 4687,
reck_it, 798000, 3125,
reck_it, 799000, 3125,
reck_it, 800000, 3125,
reck_it, 801000, 4687,
reck_it, 802000, 4687,
reck_it, 803000, 4687,
reck_it, 804000, 4687,
reck_it, 805000, 4687,
reck_it, 806000, 3125,
reck_it, 807000, 4687,
reck_it, 808000, 4687,
reck_it, 809000, 4687,
reck_it, 810000, 4687,
reck_it, 811000, 4687,
reck_it, 812000, 6250,
reck_it, 813000, 4687,
reck_it, 814000, 4687,
reck_it, 815000, 3125,
reck_it, 816000, 4687,
reck_it, 817000, 4687,
reck_it, 818000, 4687,
reck_it, 819000, 4687,
reck_it, 820000, 4687,
reck_it, 821000, 3125,
reck_it, 822000, 4687,
reck_it, 823000, 4687,
reck_it, 824000, 4687,
reck_it, 825000, 4687,
reck_it, 826000, 4687,
reck_it, 827000, 4687,
reck_it, 828000, 4687,
reck_it, 829000, 4687,
reck_it, 830000, 4687,
reck_it, 831000, 4687,
reck_it, 832000, 4687,
reck_it, 833000, 4687,
reck_it, 834000, 4687,
reck_it, 835000, 4687,
reck_it, 836000, 4687,
reck_it, 837000, 4687,
reck_it, 838000, 4687,
reck_it, 839000, 4687,
reck_it, 840000, 4687,
reck_it, 841000, 4687,
reck_it, 842000, 4687,
reck_it, 843000, 4687,
reck_it, 844000, 4687,
reck_it, 845000, 4687,
reck_it, 846000, 4687,
reck_it, 847000, 4687,
reck_it, 848000, 3125,
reck_it, 849000, 4687,
reck_it, 850000, 4687,
reck_it, 851000, 4687,
reck_it, 852000, 4687,
reck_it, 853000, 4687,
reck_it, 854000, 4687,
reck_it, 855000, 4687,
reck_it, 856000, 4687,
reck_it, 857000, 4687,
reck_it, 858000, 4687,
reck_it, 859000, 4687,
reck_it, 860000, 4687,
reck_it, 861000, 4687,
reck_it, 862000, 4687,
reck_it, 863000, 4687,
reck_it, 864000, 4687,
reck_it, 865000, 4687,
reck_it, 866000, 4687,
reck_it, 867000, 4687,
reck_it, 868000, 6250,
reck_it, 869000, 3125,
reck_it, 870000, 6250,
reck_it, 871000, 3125,
reck_it, 872000, 6250,
reck_it, 873000, 4687,
reck_it, 874000, 4687,
reck_it, 875000, 4687,
reck_it, 876000, 4687,
reck_it, 877000, 4687,
reck_it, 878000, 4687,
reck_it, 879000, 4687,
reck_it, 880000, 6250,
reck_it, 881000, 4687,
reck_it, 882000, 4687,
reck_it, 883000, 4687,
reck_it, 884000, 4687,
reck_it, 885000, 4687,
reck_it, 886000, 4687,
reck_it, 887000, 4687,
reck_it, 888000, 4687,
reck_it, 889000, 6250,
reck_it, 890000, 4687,
reck_it, 891000, 4687,
reck_it, 892000, 4687,
reck_it, 893000, 4687,
reck_it, 894000, 4687,
reck_it, 895000, 6250,
reck_it, 896000, 4687,
reck_it, 897000, 4687,
reck_it, 898000, 4687,
reck_it, 899000, 6250,
reck_it, 900000, 4687,
reck_it, 901000, 4687,
reck_it, 902000, 4687,
reck_it, 903000, 4687,
reck_it, 904000, 4687,
reck_it, 905000, 4687,
reck_it, 906000, 6250,
reck_it, 907000, 4687,
reck_it, 908000, 4687,
reck_it, 909000, 4687,
reck_it, 910000, 4687,
reck_it, 911000, 6250,
reck_it, 912000, 4687,
reck_it, 913000, 4687,
reck_it, 914000, 4687,
reck_it, 915000, 4687,
reck_it, 916000, 4687,
reck_it, 917000, 4687,
reck_it, 918000, 4687,
reck_it, 919000, 6250,
reck_it, 920000, 4687,
reck_it, 921000, 3125,
reck_it, 922000, 6250,
reck_it, 923000, 4687,
reck_it, 924000, 4687,
reck_it, 925000, 6250,
reck_it, 926000, 4687,
reck_it, 927000, 4687,
reck_it, 928000, 4687,
reck_it, 929000, 4687,
reck_it, 930000, 6250,
reck_it, 931000, 4687,
reck_it, 932000, 4687,
reck_it, 933000, 6250,
reck_it, 934000, 4687,
reck_it, 935000, 6250,
reck_it, 936000, 4687,
reck_it, 937000, 4687,
reck_it, 938000, 4687,
reck_it, 939000, 4687,
reck_it, 940000, 6250,
reck_it, 941000, 4687,
reck_it, 942000, 6250,
reck_it, 943000, 4687,
reck_it, 944000, 4687,
reck_it, 945000, 6250,
reck_it, 946000, 4687,
reck_it, 947000, 4687,
reck_it, 948000, 6250,
reck_it, 949000, 4687,
reck_it, 950000, 6250,
reck_it, 951000, 4687,
