# memory size (bytes)	cycles
1000	0
2000	0
3000	0
4000	0
5000	0
6000	0
7000	0
8000	0
9000	0
10000	0
11000	0
12000	0
13000	1562
14000	0
15000	0
16000	0
17000	0
18000	0
19000	0
20000	0
21000	0
22000	0
23000	0
24000	0
25000	0
26000	0
27000	0
28000	1562
29000	0
30000	0
31000	0
32000	0
33000	0
34000	0
35000	0
36000	0
37000	1562
38000	0
39000	0
40000	0
41000	0
42000	0
43000	0
44000	0
45000	1562
46000	0
47000	0
48000	0
49000	0
50000	0
51000	1562
52000	0
53000	0
54000	0
55000	0
56000	1562
57000	0
58000	0
59000	0
60000	0
61000	1562
62000	0
63000	0
64000	0
65000	0
66000	1562
67000	0
68000	0
69000	0
70000	1562
71000	0
72000	0
73000	0
74000	1562
75000	0
76000	0
77000	0
78000	1562
79000	0
80000	0
81000	0
82000	1562
83000	0
84000	0
85000	1562
86000	0
87000	0
88000	0
89000	1562
90000	0
91000	0
92000	1562
93000	0
94000	0
95000	1562
96000	0
97000	0
98000	1562
99000	0
100000	0
101000	1562
102000	0
103000	0
104000	1562
105000	0
106000	0
107000	1562
108000	0
109000	0
110000	1562
111000	0
112000	0
113000	1562
114000	0
115000	1562
116000	0
117000	0
118000	1562
119000	0
120000	1562
121000	0
122000	0
123000	1562
124000	0
125000	1562
126000	0
127000	1562
128000	0
129000	0
130000	1562
131000	0
132000	1562
133000	0
134000	1562
135000	0
136000	0
137000	1562
138000	0
139000	1562
140000	0
141000	1562
142000	0
143000	1562
144000	0
145000	1562
146000	0
147000	1562
148000	0
149000	1562
150000	0
151000	1562
152000	0
153000	1562
154000	0
155000	1562
156000	0
157000	1562
158000	0
159000	1562
160000	1562
161000	0
162000	1562
163000	0
164000	1562
165000	0
166000	1562
167000	0
168000	1562
169000	1562
170000	0
171000	1562
172000	0
173000	1562
174000	1562
175000	0
176000	1562
177000	0
178000	1562
179000	1562
180000	0
181000	1562
182000	1562
183000	0
184000	1562
185000	0
186000	1562
187000	1562
188000	0
189000	1562
190000	1562
191000	0
192000	1562
193000	1562
194000	0
195000	1562
196000	1562
197000	0
