# number of children	cycles,
2	6046
3	4437
4	3718
5	3421
6	3062
7	2812
8	2687
9	2531
10	2468
11	2343
12	2281
13	2234
14	2187
15	2156
16	2109
17	2046
18	2015
19	2000
20	1984
21	1953
22	1921
23	1921
24	1890
25	1875
26	1875
27	1828
28	1828
29	1859
30	1843
31	1796
32	1781
33	1750
34	1781
35	1750
36	1734
37	1718
38	1718
39	1718
40	1781
41	1734
42	1671
43	1625
44	1640
45	1656
46	1625
47	1656
48	1734
49	1718
50	1656
51	1703
52	1671
53	1656
54	1656
55	1656
56	1656
57	1593
58	1640
59	1625
60	1703
61	1734
62	1640
63	1640
64	1750
65	1593
66	1796
67	2062
68	1703
69	1625
70	1609
71	1625
72	1640
73	1656
74	1812
75	1781
76	1609
77	1578
78	1531
79	1546
80	1625
81	1718
82	1578
83	1656
84	1765
85	1703
86	1515
87	1531
88	1640
89	1593
90	1546
91	1578
92	1812
93	1718
94	1515
95	1515
96	1546
97	1609
98	1593
99	1765
100	1625
